# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 253K of event 'cycles'
# Event count (approx.): 123309724822
#
# Overhead  Command     Shared Object      Symbol                                        
# ........  ..........  .................  ..............................................
#
     0.27%  :2299258    python3.10         [.] 0x00000000001215f7
     0.25%  :2299258    python3.10         [.] 0x0000000000179c4e
     0.25%  :2299258    python3.10         [.] 0x000000000015b557
     0.24%  :2299258    python3.10         [.] 0x0000000000121675
     0.24%  :2299258    python3.10         [.] 0x0000000000179bee
     0.23%  :2299258    python3.10         [.] 0x000000000015b520
     0.23%  :2299258    python3.10         [.] 0x0000000000121600
     0.23%  :2299258    python3.10         [.] 0x0000000000179c02
     0.22%  :2299258    python3.10         [.] 0x0000000000179be8
     0.21%  :2299258    python3.10         [.] 0x0000000000121677
     0.21%  :2299258    python3.10         [.] 0x000000000015b50e
     0.19%  :2299258    python3.10         [.] 0x000000000015b500
     0.18%  :2299258    python3.10         [.] 0x0000000000121596
     0.17%  :2299258    python3.10         [.] 0x000000000012167f
     0.15%  :2299258    python3.10         [.] 0x0000000000179c3b
     0.15%  :2299258    python3.10         [.] 0x00000000001215e2
     0.15%  :2299258    python3.10         [.] 0x0000000000179c5a
     0.14%  :2299258    python3.10         [.] 0x0000000000179be6
     0.14%  :2299258    python3.10         [.] 0x0000000000121667
     0.14%  :2299258    python3.10         [.] 0x00000000001215e5
     0.14%  :2299258    python3.10         [.] 0x0000000000121653
     0.13%  :2299258    python3.10         [.] 0x0000000000173d58
     0.13%  :2299258    python3.10         [.] 0x000000000015b568
     0.13%  :2299258    python3.10         [.] 0x00000000001215a7
     0.13%  :2299258    python3.10         [.] 0x00000000001215d8
     0.12%  :2299258    python3.10         [.] 0x000000000015b56e
     0.12%  :2299258    python3.10         [.] 0x0000000000173d50
     0.11%  :2299258    python3.10         [.] 0x0000000000179c42
     0.11%  :2299258    python3.10         [.] 0x000000000012166e
     0.10%  :2299258    python3.10         [.] 0x0000000000179c13
     0.10%  :2299258    python3.10         [.] 0x00000000001215bc
     0.09%  :2299258    python3.10         [.] 0x0000000000121740
     0.09%  :2299258    python3.10         [.] 0x000000000015b53b
     0.09%  python3.10  python3.10         [.] 0x000000000012160b
     0.08%  :2299258    python3.10         [.] 0x000000000015b53e
     0.08%  python3.10  python3.10         [.] 0x0000000000121623
     0.08%  :2299258    python3.10         [.] 0x000000000012159d
     0.08%  :2299258    python3.10         [.] 0x0000000000179c25
     0.06%  python3.10  python3.10         [.] 0x0000000000121613
     0.06%  :2299258    python3.10         [.] 0x00000000001215a2
     0.06%  python3.10  python3.10         [.] 0x0000000000121590
     0.05%  :2299258    python3.10         [.] 0x0000000000179c46
     0.05%  python3.10  python3.10         [.] 0x0000000000121605
     0.05%  python3.10  python3.10         [.] 0x0000000000121635
     0.05%  :2299258    python3.10         [.] 0x0000000000121594
     0.04%  :2299258    python3.10         [.] 0x0000000000121749
     0.04%  :2299258    python3.10         [.] 0x0000000000121754
     0.04%  python3.10  python3.10         [.] 0x0000000000121628
     0.04%  :2299258    python3.10         [.] 0x0000000000179c2e
     0.04%  python3.10  python3.10         [.] 0x000000000012160f
     0.04%  :2299258    python3.10         [.] 0x0000000000179c15
     0.04%  python3.10  python3.10         [.] 0x0000000000121616
     0.04%  :2299258    python3.10         [.] 0x0000000000121734
     0.03%  python3.10  python3.10         [.] 0x0000000000121638
     0.03%  python3.10  python3.10         [.] 0x00000000001215c4
     0.03%  :2299258    python3.10         [.] 0x000000000012175a
     0.03%  python3.10  python3.10         [.] 0x0000000000121676
     0.03%  :2299258    python3.10         [.] 0x0000000000121757
     0.03%  :2299258    python3.10         [.] 0x000000000015b50a
     0.03%  :2299258    python3.10         [.] 0x00000000001215ed
     0.03%  :2299258    python3.10         [.] 0x00000000001215b2
     0.03%  :2299258    python3.10         [.] 0x00000000001215a6
     0.03%  :2299258    python3.10         [.] 0x00000000001215a0
     0.02%  :2299258    python3.10         [.] 0x000000000015b50b
     0.02%  python3.10  python3.10         [.] 0x0000000000121679
     0.02%  :2299258    python3.10         [.] 0x000000000015b512
     0.02%  :2299258    python3.10         [.] 0x000000000015b534
     0.02%  :2299258    python3.10         [.] 0x000000000015b519
     0.02%  :2299258    python3.10         [.] 0x0000000000121751
     0.02%  python3.10  python3.10         [.] 0x0000000000121737
     0.02%  :2299258    python3.10         [.] 0x0000000000179be4
     0.02%  :2299258    python3.10         [.] 0x00000000001215c8
     0.02%  :2299258    python3.10         [.] 0x000000000015b52a
     0.02%  python3.10  python3.10         [.] 0x0000000000121730
     0.02%  :2299258    python3.10         [.] 0x0000000000179c0b
     0.02%  :2299258    python3.10         [.] 0x00000000001215c0
     0.02%  :2299258    python3.10         [.] 0x000000000015b504
     0.01%  :2299258    python3.10         [.] 0x0000000000173d54
     0.01%  python3.10  python3.10         [.] 0x000000000012159b
     0.01%  :2299258    python3.10         [.] 0x0000000000179bea
     0.01%  :2299258    [kernel.kallsyms]  [k] psi_group_change
     0.01%  python3.10  python3.10         [.] 0x00000000001215dc
     0.01%  python3.10  python3.10         [.] 0x00000000001215f2
     0.01%  :2299258    python3.10         [.] 0x000000000012164e
     0.01%  python3.10  python3.10         [.] 0x000000000012167d
     0.01%  :2299258    python3.10         [.] 0x0000000000179c21
     0.01%  :2299258    python3.10         [.] 0x000000000012161d
     0.01%  python3.10  python3.10         [.] 0x00000000001215ab
     0.01%  :2299258    python3.10         [.] 0x0000000000179bfb
     0.01%  :2299258    python3.10         [.] 0x0000000000179be9
     0.01%  python3.10  python3.10         [.] 0x00000000001215a3
     0.01%  :2299258    python3.10         [.] 0x00000000001215df
     0.01%  :2299258    python3.10         [.] 0x0000000000121630
     0.01%  :2299258    python3.10         [.] 0x0000000000121672
     0.01%  :2299258    [kernel.kallsyms]  [k] __update_load_avg_cfs_rq
     0.01%  python3.10  python3.10         [.] 0x0000000000121600
     0.01%  :2299258    python3.10         [.] 0x0000000000121641
     0.01%  python3.10  python3.10         [.] 0x00000000001215f7
     0.01%  python3.10  [kernel.kallsyms]  [k] psi_group_change
     0.01%  python3.10  python3.10         [.] 0x00000000001215e9
     0.01%  python3.10  python3.10         [.] 0x00000000001215cb
     0.01%  :2299258    python3.10         [.] 0x0000000000179c56
     0.00%  python3.10  python3.10         [.] 0x000000000012167b
     0.00%  python3.10  python3.10         [.] 0x00000000001215e2
     0.00%  :2299258    python3.10         [.] 0x000000000015b55b
     0.00%  python3.10  python3.10         [.] 0x000000000012167f
     0.00%  :2299258    python3.10         [.] 0x000000000012162c
     0.00%  :2299258    python3.10         [.] 0x0000000000121599
     0.00%  :2299258    [kernel.kallsyms]  [k] merge_sched_in
     0.00%  python3.10  python3.10         [.] 0x0000000000121677
     0.00%  :2299258    [kernel.kallsyms]  [k] __hrtimer_run_queues
     0.00%  :2299258    [kernel.kallsyms]  [k] __update_load_avg_se
     0.00%  :2299258    [kernel.kallsyms]  [k] task_tick_fair
     0.00%  :2299258    [kernel.kallsyms]  [k] update_load_avg
     0.00%  :2299258    [kernel.kallsyms]  [k] hrtimer_interrupt
     0.00%  :2299258    [kernel.kallsyms]  [k] event_sched_in
     0.00%  :2299258    python3.10         [.] 0x0000000000179c38
     0.00%  :2299258    python3.10         [.] 0x000000000015b525
     0.00%  :2299258    python3.10         [.] 0x000000000015b564
     0.00%  python3.10  python3.10         [.] _PyObject_MakeTpCall
     0.00%  :2299258    [kernel.kallsyms]  [k] __hrtimer_next_event_base
     0.00%  :2299258    [kernel.kallsyms]  [k] update_curr
     0.00%  python3.10  python3.10         [.] 0x00000000001215e5
     0.00%  :2299258    python3.10         [.] 0x000000000015b562
     0.00%  :2299258    [kernel.kallsyms]  [k] error_entry
     0.00%  :2299258    [kernel.kallsyms]  [k] enqueue_entity
     0.00%  :2299258    python3.10         [.] 0x000000000015b509
     0.00%  :2299258    [kernel.kallsyms]  [k] native_sched_clock
     0.00%  :2299258    python3.10         [.] 0x0000000000179c35
     0.00%  :2299258    [kernel.kallsyms]  [k] perf_event_update_time
     0.00%  python3.10  python3.10         [.] 0x00000000001215bc
     0.00%  python3.10  python3.10         [.] 0x00000000001215d8
     0.00%  :2299258    [kernel.kallsyms]  [k] _raw_spin_lock
     0.00%  :2299258    [kernel.kallsyms]  [k] visit_groups_merge.constprop.0.isra.0
     0.00%  :2299258    [kernel.kallsyms]  [k] update_process_times
     0.00%  :2299258    python3.10         [.] 0x000000000015b56d
     0.00%  :2299258    python3.10         [.] 0x0000000000179bf7
     0.00%  :2299258    [kernel.kallsyms]  [k] restore_fpregs_from_fpstate
     0.00%  :2299258    [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.00%  :2299258    [kernel.kallsyms]  [k] timerqueue_add
     0.00%  :2299258    [kernel.kallsyms]  [k] pick_next_task_fair
     0.00%  :2299258    [kernel.kallsyms]  [k] _raw_spin_lock_irq
     0.00%  :2299258    [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     0.00%  :2299258    [kernel.kallsyms]  [k] rb_next
     0.00%  :2299258    python3.10         [.] 0x000000000012174d
     0.00%  :2299258    [kernel.kallsyms]  [k] __calc_delta
     0.00%  python3.10  [kernel.kallsyms]  [k] __update_load_avg_se
     0.00%  :2299258    [kernel.kallsyms]  [k] perf_event_task_tick
     0.00%  :2299258    [kernel.kallsyms]  [k] therm_throt_process
     0.00%  python3.10  [kernel.kallsyms]  [k] sched_clock_cpu
     0.00%  python3.10  python3.10         [.] 0x0000000000121596
     0.00%  python3.10  [kernel.kallsyms]  [k] native_sched_clock
     0.00%  :2299258    python3.10         [.] 0x000000000015b570
     0.00%  :2299258    libc.so.6          [.] parse_expression
     0.00%  :2299258    [kernel.kallsyms]  [k] scheduler_tick
     0.00%  :2299258    [kernel.kallsyms]  [k] __schedule
     0.00%  :2299258    [kernel.kallsyms]  [k] perf_swevent_add
     0.00%  :2299258    [kernel.kallsyms]  [k] psi_task_change
     0.00%  python3.10  python3.10         [.] 0x00000000001d4961
     0.00%  :2299258    [kernel.kallsyms]  [k] native_apic_msr_eoi_write
     0.00%  :2299258    [kernel.kallsyms]  [k] nohz_balance_exit_idle
     0.00%  :2299258    [kernel.kallsyms]  [k] enqueue_task_fair
     0.00%  :2299258    [kernel.kallsyms]  [k] __cgroup_account_cputime
     0.00%  python3.10  libc.so.6          [.] __GI___strncasecmp_l_sse2
     0.00%  python3.10  python3.10         [.] PyList_Append
     0.00%  :2299258    [kernel.kallsyms]  [k] perf_swevent_event
     0.00%  :2299258    python3.10         [.] 0x000000000015b54b
     0.00%  :2299258    [kernel.kallsyms]  [k] hrtimer_update_next_event
     0.00%  :2299258    python3.10         [.] 0x000000000015b54f
     0.00%  :2299258    [kernel.kallsyms]  [k] read_tsc
     0.00%  :2299258    [kernel.kallsyms]  [k] update_min_vruntime
     0.00%  python3.10  python3.10         [.] _PyUnicode_JoinArray
     0.00%  :2299258    python3.10         [.] 0x0000000000179c5c
     0.00%  python3.10  python3.10         [.] _PyUnicode_InsertThousandsGrouping
     0.00%  :2299258    [kernel.kallsyms]  [k] check_preempt_wakeup
     0.00%  python3.10  [kernel.kallsyms]  [k] visit_groups_merge.constprop.0.isra.0
     0.00%  python3.10  [kernel.kallsyms]  [k] event_sched_in
     0.00%  :2299258    [kernel.kallsyms]  [k] ___perf_sw_event
     0.00%  :2299258    python3.10         [.] 0x0000000000179c18
     0.00%  :2299258    [kernel.kallsyms]  [k] perf_pmu_nop_int
     0.00%  :2299258    [kernel.kallsyms]  [k] native_write_msr
     0.00%  :2299258    [kernel.kallsyms]  [k] cpuacct_charge
     0.00%  :2299258    [kernel.kallsyms]  [k] ttwu_do_wakeup
     0.00%  :2299258    [kernel.kallsyms]  [k] rcu_read_unlock_strict
     0.00%  :2299258    [kernel.kallsyms]  [k] hrtimer_forward
     0.00%  :2299258    [kernel.kallsyms]  [k] __perf_event_task_sched_in
     0.00%  python3.10  [kernel.kallsyms]  [k] update_load_avg
     0.00%  :2299258    [kernel.kallsyms]  [k] __lock_text_start
     0.00%  :2299258    python3.10         [.] _PyObject_LookupSpecial
     0.00%  :2299258    [kernel.kallsyms]  [k] hrtimer_active
     0.00%  python3.10  [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.00%  :2299258    [kernel.kallsyms]  [k] tick_program_event
     0.00%  :2299258    python3.10         [.] 0x000000000015b55d
     0.00%  :2299258    [kernel.kallsyms]  [k] arch_scale_freq_tick
     0.00%  python3.10  [kernel.kallsyms]  [k] merge_sched_in
     0.00%  :2299258    python3.10         [.] 0x000000000015b56c
     0.00%  :2299258    [kernel.kallsyms]  [k] perf_log_itrace_start
     0.00%  python3.10  python3.10         [.] 0x000000000012e078
     0.00%  :2299258    [kernel.kallsyms]  [k] update_cfs_group
     0.00%  python3.10  [kernel.kallsyms]  [k] __update_load_avg_cfs_rq
     0.00%  python3.10  python3.10         [.] 0x000000000012159d
     0.00%  :2299258    [kernel.kallsyms]  [k] ctx_sched_in
     0.00%  :2299258    [kernel.kallsyms]  [k] rb_erase
     0.00%  :2299258    [kernel.kallsyms]  [k] account_user_time
     0.00%  python3.10  libc.so.6          [.] ____wcstold_l_internal
     0.00%  :2299258    python3.10         [.] 0x0000000000179bfe
     0.00%  :2299258    [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     0.00%  :2299258    [kernel.kallsyms]  [k] perf_event_update_userpage
     0.00%  :2299258    [kernel.kallsyms]  [k] __irqentry_text_end
     0.00%  python3.10  python3.10         [.] 0x0000000000121594
     0.00%  :2299258    python3.10         [.] 0x000000000015b554
     0.00%  :2299258    [kernel.kallsyms]  [k] psi_task_switch
     0.00%  :2299258    [kernel.kallsyms]  [k] exit_to_user_mode_loop
     0.00%  :2299258    [kernel.kallsyms]  [k] clockevents_program_event
     0.00%  python3.10  python3.10         [.] _PyObject_GenericGetAttrWithDict
     0.00%  :2299258    [kernel.kallsyms]  [k] set_next_entity
     0.00%  :2299258    [kernel.kallsyms]  [k] __put_user_nocheck_8
     0.00%  python3.10  [kernel.kallsyms]  [k] futex_wake
     0.00%  python3.10  [kernel.kallsyms]  [k] perf_iterate_ctx
     0.00%  python3.10  [kernel.kallsyms]  [k] kmem_cache_alloc_node
     0.00%  :2299258    [kernel.kallsyms]  [k] idle_cpu
     0.00%  python3.10  python3.10         [.] _PyUnicodeWriter_PrepareInternal
     0.00%  python3.10  [kernel.kallsyms]  [k] syscall_exit_to_user_mode
     0.00%  :2299258    python3.10         [.] 0x00000000001522f3
     0.00%  :2299258    [kernel.kallsyms]  [k] x86_pmu_disable
     0.00%  python3.10  python3.10         [.] 0x0000000000174090
     0.00%  :2299258    [kernel.kallsyms]  [k] __get_user_8
     0.00%  :2299258    [kernel.kallsyms]  [k] select_idle_sibling
     0.00%  :2299258    libc.so.6          [.] 0x00000000001a0940
     0.00%  python3.10  [kernel.kallsyms]  [k] inherit_event.constprop.0
     0.00%  python3.10  python3.10         [.] 0x0000000000188efb
     0.00%  python3.10  python3.10         [.] 0x00000000001215a2
     0.00%  :2299258    [kernel.kallsyms]  [k] update_rq_clock
     0.00%  python3.10  [kernel.kallsyms]  [k] _raw_spin_lock
     0.00%  :2299258    [kernel.kallsyms]  [k] select_task_rq_fair
     0.00%  :2299258    [kernel.kallsyms]  [k] error_return
     0.00%  python3.10  libc.so.6          [.] 0x00000000001a0940
     0.00%  :2299258    [kernel.kallsyms]  [k] __copy_skb_header
     0.00%  python3.10  python3.10         [.] _PyObject_GenericSetAttrWithDict
     0.00%  :2299258    python3.10         [.] 0x000000000017f87a
     0.00%  :2299258    [kernel.kallsyms]  [k] kmem_cache_alloc_node
     0.00%  :2299258    [kernel.kallsyms]  [k] rcu_note_context_switch
     0.00%  python3.10  [kernel.kallsyms]  [k] switch_fpu_return
     0.00%  :2299258    python3.10         [.] 0x0000000000179c58
     0.00%  :2299258    [kernel.kallsyms]  [k] task_h_load
     0.00%  python3.10  python3.10         [.] 0x000000000015b546
     0.00%  :2299258    [kernel.kallsyms]  [k] check_cpu_stall
     0.00%  :2299258    [kernel.kallsyms]  [k] sched_clock_cpu
     0.00%  :2299258    [kernel.kallsyms]  [k] timerqueue_del
     0.00%  :2299258    python3.10         [.] 0x0000000000206683
     0.00%  :2299258    python3.10         [.] 0x00000000001b63e8
     0.00%  python3.10  [kernel.kallsyms]  [k] perf_event_groups_insert
     0.00%  :2299258    python3.10         [.] 0x000000000027746d
     0.00%  :2299258    [kernel.kallsyms]  [k] task_clock_event_add
     0.00%  python3.10  [kernel.kallsyms]  [k] iterate_groups
     0.00%  python3.10  [kernel.kallsyms]  [k] perf_event_sched_in
     0.00%  :2299258    [kernel.kallsyms]  [k] perf_swevent_read
     0.00%  python3.10  [kernel.kallsyms]  [k] __cgroup_account_cputime
     0.00%  python3.10  python3.10         [.] _PyObject_GetMethod
     0.00%  python3.10  [kernel.kallsyms]  [k] lru_add_drain_cpu
     0.00%  python3.10  [kernel.kallsyms]  [k] exit_to_user_mode_loop
     0.00%  :2299258    python3.10         [.] 0x0000000000150918
     0.00%  python3.10  python3.10         [.] 0x0000000000188dd7
     0.00%  :2299258    [kernel.kallsyms]  [k] update_sg_lb_stats
     0.00%  :2299258    [kernel.kallsyms]  [k] put_prev_entity
     0.00%  :2299258    [kernel.kallsyms]  [k] refill_stock
     0.00%  :2299258    [kernel.kallsyms]  [k] rcu_sched_clock_irq
     0.00%  python3.10  [kernel.kallsyms]  [k] __sysvec_thermal
     0.00%  :2299258    [kernel.kallsyms]  [k] futex_wake
     0.00%  :2299258    python3.10         [.] 0x00000000001b6443
     0.00%  :2299258    [kernel.kallsyms]  [k] rseq_ip_fixup
     0.00%  :2299258    [kernel.kallsyms]  [k] rcu_qs
     0.00%  python3.10  [kernel.kallsyms]  [k] __bitmap_and
     0.00%  :2299258    python3.10         [.] 0x00000000001d944d
     0.00%  python3.10  [kernel.kallsyms]  [k] __hrtimer_init
     0.00%  python3.10  [kernel.kallsyms]  [k] load_balance
     0.00%  :2299258    python3.10         [.] 0x00000000002773d1
     0.00%  :2299258    [kernel.kallsyms]  [k] perf_event_groups_first
     0.00%  :2299258    python3.10         [.] _PyTime_localtime
     0.00%  :2299258    [kernel.kallsyms]  [k] pick_next_task
     0.00%  python3.10  python3.10         [.] 0x000000000015effa
     0.00%  :2299258    [kernel.kallsyms]  [k] ttwu_do_activate
     0.00%  :2299258    [kernel.kallsyms]  [k] perf_pmu_nop_txn
     0.00%  :2299258    [kernel.kallsyms]  [k] ktime_get
     0.00%  :2299258    [kernel.kallsyms]  [k] set_next_buddy
     0.00%  :2299258    python3.10         [.] _PyUnicodeWriter_PrepareInternal
     0.00%  :2299258    [kernel.kallsyms]  [k] rb_insert_color
     0.00%  :2299258    [kernel.kallsyms]  [k] __cgroup_account_cputime_field
     0.00%  :2299258    [kernel.kallsyms]  [k] enqueue_task
     0.00%  :2299258    python3.10         [.] _PyUnicode_InsertThousandsGrouping
     0.00%  :2299258    python3.10         [.] _PyObject_MakeTpCall
     0.00%  :2299258    [kernel.kallsyms]  [k] dev_hard_start_xmit
     0.00%  :2299258    [kernel.kallsyms]  [k] notify_hwp_interrupt
     0.00%  :2299258    [kernel.kallsyms]  [k] select_idle_cpu
     0.00%  :2299258    python3.10         [.] 0x0000000000198ea2
     0.00%  :2299258    python3.10         [.] PyObject_Format
     0.00%  :2299258    [kernel.kallsyms]  [k] rseq_get_rseq_cs.isra.0
     0.00%  python3.10  python3.10         [.] 0x0000000000121734
     0.00%  :2299258    [kernel.kallsyms]  [k] sched_slice
     0.00%  python3.10  [kernel.kallsyms]  [k] rb_next
     0.00%  python3.10  python3.10         [.] 0x000000000012d130
     0.00%  :2299258    [kernel.kallsyms]  [k] reweight_entity
     0.00%  :2299258    [kernel.kallsyms]  [k] iterate_groups
     0.00%  python3.10  [kernel.kallsyms]  [k] select_idle_sibling
     0.00%  :2299258    [kernel.kallsyms]  [k] irqentry_exit_to_user_mode
     0.00%  :2299258    python3.10         [.] 0x000000000015af8e
     0.00%  :2299258    [kernel.kallsyms]  [k] pick_next_entity
     0.00%  :2299258    python3.10         [.] PyLong_FromString
     0.00%  :2299258    python3.10         [.] 0x00000000002069ad
     0.00%  python3.10  python3.10         [.] 0x0000000000127f5d
     0.00%  python3.10  [kernel.kallsyms]  [k] ___perf_sw_event
     0.00%  :2299258    python3.10         [.] 0x0000000000127f54
     0.00%  :2299258    [kernel.kallsyms]  [k] tick_do_update_jiffies64
     0.00%  :2299258    [kernel.kallsyms]  [k] exit_creds
     0.00%  python3.10  python3.10         [.] 0x00000000001215a6
     0.00%  :2299258    [kernel.kallsyms]  [k] irqentry_exit
     0.00%  python3.10  [kernel.kallsyms]  [k] kmem_cache_alloc_node_trace
     0.00%  :2299258    [kernel.kallsyms]  [k] perf_exclude_event
     0.00%  python3.10  [kernel.kallsyms]  [k] syscall_return_via_sysret
     0.00%  :2299258    [kernel.kallsyms]  [k] irq_exit_rcu
     0.00%  python3.10  [kernel.kallsyms]  [k] intel_cpuc_finish
     0.00%  :2299258    [kernel.kallsyms]  [k] kmalloc_slab
     0.00%  python3.10  [kernel.kallsyms]  [k] intel_pmu_hw_config.part.0
     0.00%  python3.10  [kernel.kallsyms]  [k] x86_setup_perfctr
     0.00%  python3.10  [kernel.kallsyms]  [k] recalc_sigpending
     0.00%  :2299258    python3.10         [.] 0x0000000000163001
     0.00%  python3.10  python3.10         [.] _PyUnicode_FromId
     0.00%  python3.10  python3.10         [.] 0x00000000001795fe
     0.00%  :2299258    python3.10         [.] 0x00000000001795ed
     0.00%  python3.10  [kernel.kallsyms]  [k] x86_pmu_event_init
     0.00%  python3.10  python3.10         [.] 0x00000000001d495d
     0.00%  :2299258    libc.so.6          [.] 0x0000000000199c00
     0.00%  python3.10  [kernel.kallsyms]  [k] perf_event_alloc
     0.00%  :2299258    [kernel.kallsyms]  [k] wake_up_process
     0.00%  python3.10  python3.10         [.] _PyObject_LookupSpecial
     0.00%  python3.10  [kernel.kallsyms]  [k] enqueue_task
     0.00%  python3.10  [kernel.kallsyms]  [k] __calc_delta
     0.00%  python3.10  [kernel.kallsyms]  [k] cyc2ns_read_begin
     0.00%  python3.10  python3.10         [.] 0x000000000012d1da
     0.00%  python3.10  python3.10         [.] 0x0000000000121630
     0.00%  python3.10  [kernel.kallsyms]  [k] hrtimer_interrupt
     0.00%  python3.10  [kernel.kallsyms]  [k] x86_pmu_hw_config
     0.00%  python3.10  python3.10         [.] 0x000000000012bd50
     0.00%  python3.10  [kernel.kallsyms]  [k] reweight_entity
     0.00%  python3.10  python3.10         [.] 0x00000000001215a7
     0.00%  python3.10  python3.10         [.] 0x00000000002b6a1c
     0.00%  python3.10  python3.10         [.] 0x000000000017c380
     0.00%  python3.10  python3.10         [.] 0x000000000015ef7f
     0.00%  python3.10  python3.10         [.] _PyUnicodeWriter_Init
     0.00%  python3.10  python3.10         [.] 0x00000000001795d6
     0.00%  python3.10  python3.10         [.] 0x00000000001894c3
     0.00%  python3.10  [kernel.kallsyms]  [k] perf_event_update_time
     0.00%  python3.10  [kernel.kallsyms]  [k] perf_log_itrace_start
     0.00%  python3.10  python3.10         [.] PyUnicode_FromFormatV
     0.00%  python3.10  [kernel.kallsyms]  [k] __page_set_anon_rmap
     0.00%  python3.10  [kernel.kallsyms]  [k] futex_wait
     0.00%  python3.10  [kernel.kallsyms]  [k] kmem_cache_alloc_trace
     0.00%  python3.10  [kernel.kallsyms]  [k] security_perf_event_alloc
     0.00%  :2299258    python3.10         [.] 0x000000000027760a
     0.00%  :2299258    [kernel.kallsyms]  [k] __sk_mem_reduce_allocated
     0.00%  python3.10  python3.10         [.] 0x000000000017c3fc
     0.00%  python3.10  [kernel.kallsyms]  [k] do_futex
     0.00%  python3.10  python3.10         [.] PyUnicode_Format
     0.00%  :2299258    [kernel.kallsyms]  [k] lapic_next_deadline
     0.00%  python3.10  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.00%  python3.10  python3.10         [.] 0x00000000001d48e8
     0.00%  python3.10  [kernel.kallsyms]  [k] rcu_read_unlock_strict
     0.00%  :2299258    [kernel.kallsyms]  [k] prepare_task_switch
     0.00%  python3.10  [kernel.kallsyms]  [k] kfree
     0.00%  python3.10  [kernel.kallsyms]  [k] hash_futex
     0.00%  python3.10  [kernel.kallsyms]  [k] perf_event_init_context
     0.00%  python3.10  python3.10         [.] 0x0000000000121660
     0.00%  python3.10  python3.10         [.] 0x000000000015b520
     0.00%  python3.10  python3.10         [.] 0x000000000012d1e1
     0.00%  :2299258    [kernel.kallsyms]  [k] fpregs_assert_state_consistent
     0.00%  :2299258    libc.so.6          [.] sem_clockwait@@GLIBC_2.34
     0.00%  python3.10  [kernel.kallsyms]  [k] page_remove_rmap
     0.00%  python3.10  python3.10         [.] _PyErr_NormalizeException
     0.00%  python3.10  python3.10         [.] 0x000000000020692a
     0.00%  python3.10  python3.10         [.] 0x0000000000206552
     0.00%  :2299258    [kernel.kallsyms]  [k] __sysvec_call_function_single
     0.00%  python3.10  python3.10         [.] 0x000000000015e0ee
     0.00%  :2299258    [kernel.kallsyms]  [k] __sysvec_apic_timer_interrupt
     0.00%  python3.10  libc.so.6          [.] re_search_internal
     0.00%  python3.10  libcrypto.so.3     [.] 0x00000000003073ef
     0.00%  python3.10  libcrypto.so.3     [.] 0x0000000000308282
     0.00%  python3.10  libcrypto.so.3     [.] 0x0000000000308243
     0.00%  python3.10  libcrypto.so.3     [.] 0x0000000000308348
     0.00%  python3.10  python3.10         [.] 0x0000000000294986
     0.00%  python3.10  python3.10         [.] 0x000000000016a30c
     0.00%  python3.10  python3.10         [.] _Py_HashBytes
     0.00%  python3.10  libcrypto.so.3     [.] 0x0000000000308394
     0.00%  python3.10  python3.10         [.] 0x0000000000179530
     0.00%  python3.10  python3.10         [.] 0x0000000000127f54
     0.00%  python3.10  python3.10         [.] 0x000000000015b568
     0.00%  python3.10  python3.10         [.] 0x00000000001d48f3
     0.00%  python3.10  libcrypto.so.3     [.] 0x0000000000307384
     0.00%  :2299258    [kernel.kallsyms]  [k] _find_next_bit
     0.00%  python3.10  python3.10         [.] 0x0000000000277507
     0.00%  python3.10  python3.10         [.] 0x0000000000277605
     0.00%  :2299258    [kernel.kallsyms]  [k] hrtimer_run_queues
     0.00%  python3.10  python3.10         [.] 0x0000000000151e2e
     0.00%  python3.10  python3.10         [.] 0x0000000000206620
     0.00%  python3.10  python3.10         [.] 0x0000000000295071
     0.00%  python3.10  python3.10         [.] 0x000000000015b15c
     0.00%  python3.10  python3.10         [.] 0x000000000020bef5
     0.00%  :2299258    [kernel.kallsyms]  [k] slab_free_freelist_hook.constprop.0
     0.00%  python3.10  python3.10         [.] 0x0000000000122913
     0.00%  :2299258    [kernel.kallsyms]  [k] irq_work_tick
     0.00%  python3.10  python3.10         [.] 0x000000000029428d
     0.00%  python3.10  python3.10         [.] 0x000000000012284c
     0.00%  python3.10  python3.10         [.] 0x0000000000206a23
     0.00%  :2299258    [kernel.kallsyms]  [k] raw_spin_rq_lock_nested
     0.00%  python3.10  python3.10         [.] 0x000000000020679f
     0.00%  python3.10  libc.so.6          [.] 0x00000000001a0986
     0.00%  :2299258    [kernel.kallsyms]  [k] psi_flags_change
     0.00%  python3.10  python3.10         [.] 0x000000000012d6c0
     0.00%  python3.10  python3.10         [.] 0x000000000012166e
     0.00%  python3.10  python3.10         [.] 0x0000000000122820
     0.00%  python3.10  python3.10         [.] 0x00000000002949da
     0.00%  python3.10  [kernel.kallsyms]  [k] __get_user_8
     0.00%  python3.10  [kernel.kallsyms]  [k] account_kernel_stack.isra.0
     0.00%  python3.10  [kernel.kallsyms]  [k] mark_wake_futex
     0.00%  python3.10  [kernel.kallsyms]  [k] memset_erms
